,daily_views
2012-03-23,340
2012-03-24,268
2012-03-25,323
2012-03-26,432
2012-03-27,392
2012-03-28,391
2012-03-29,437
2012-03-30,387
2012-03-31,228
2012-04-01,260
2012-04-02,366
2012-04-03,399
2012-04-04,398
2012-04-05,433
2012-04-06,301
2012-04-07,198
2012-04-08,228
2012-04-09,361
2012-04-10,424
2012-04-11,391
2012-04-12,406
2012-04-13,354
2012-04-14,262
2012-04-15,309
2012-04-16,436
2012-04-17,401
2012-04-18,480
2012-04-19,438
2012-04-20,401
2012-04-21,237
2012-04-22,250
2012-04-23,443
2012-04-24,406
2012-04-25,389
2012-04-26,399
2012-04-27,401
2012-04-28,249
2012-04-29,259
2012-04-30,69
2012-04-31,69
2012-05-01,418
2012-05-02,416
2012-05-03,489
2012-05-04,394
2012-05-05,272
2012-05-06,282
2012-05-07,463
2012-05-08,465
2012-05-09,579
2012-05-10,431
2012-05-11,430
2012-05-12,265
2012-05-13,286
2012-05-14,438
2012-05-15,503
2012-05-16,427
2012-05-17,452
2012-05-18,385
2012-05-19,229
2012-05-20,255
2012-05-21,442
2012-05-22,439
2012-05-23,453
2012-05-24,420
2012-05-25,418
2012-05-26,232
2012-05-27,255
2012-05-28,341
2012-05-29,473
2012-05-30,419
2012-05-31,413
2012-06-01,352
2012-06-02,306
2012-06-03,270
2012-06-04,457
2012-06-05,477
2012-06-06,445
2012-06-07,417
2012-06-08,427
2012-06-09,264
2012-06-10,221
2012-06-11,451
2012-06-12,417
2012-06-13,457
2012-06-14,474
2012-06-15,388
2012-06-16,260
2012-06-17,290
2012-06-18,490
2012-06-19,481
2012-06-20,487
2012-06-21,452
2012-06-22,413
2012-06-23,268
2012-06-24,242
2012-06-25,404
2012-06-26,466
2012-06-27,498
2012-06-28,412
2012-06-29,361
2012-06-30,234
2012-06-31,64
2012-07-01,246
2012-07-02,413
2012-07-03,411
2012-07-04,386
2012-07-05,390
2012-07-06,417
2012-07-07,254
2012-07-08,254
2012-07-09,463
2012-07-10,438
2012-07-11,449
2012-07-12,513
2012-07-13,383
2012-07-14,230
2012-07-15,251
2012-07-16,447
2012-07-17,492
2012-07-18,441
2012-07-19,404
2012-07-20,369
2012-07-21,256
2012-07-22,248
2012-07-23,425
2012-07-24,481
2012-07-25,448
2012-07-26,432
2012-07-27,381
2012-07-28,245
2012-07-29,223
2012-07-30,421
2012-07-31,438
2012-08-01,438
2012-08-02,454
2012-08-03,327
2012-08-04,217
2012-08-05,232
2012-08-06,364
2012-08-07,375
2012-08-08,421
2012-08-09,395
2012-08-10,316
2012-08-11,229
2012-08-12,218
2012-08-13,415
2012-08-14,468
2012-08-15,387
2012-08-16,413
2012-08-17,398
2012-08-18,257
2012-08-19,256
2012-08-20,415
2012-08-21,425
2012-08-22,433
2012-08-23,429
2012-08-24,404
2012-08-25,258
2012-08-26,276
2012-08-27,409
2012-08-28,464
2012-08-29,442
2012-08-30,462
2012-08-31,377
2012-09-01,226
2012-09-02,241
2012-09-03,362
2012-09-04,437
2012-09-05,413
2012-09-06,404
2012-09-07,425
2012-09-08,351
2012-09-09,299
2012-09-10,484
2012-09-11,539
2012-09-12,499
2012-09-13,497
2012-09-14,444
2012-09-15,283
2012-09-16,250
2012-09-17,459
2012-09-18,535
2012-09-19,437
2012-09-20,441
2012-09-21,427
2012-09-22,244
2012-09-23,278
2012-09-24,475
2012-09-25,487
2012-09-26,474
2012-09-27,450
2012-09-28,383
2012-09-29,258
2012-09-30,293
2012-09-31,57
2012-10-01,479
2012-10-02,515
2012-10-03,472
2012-10-04,462
2012-10-05,518
2012-10-06,447
2012-10-07,261
2012-10-08,452
2012-10-09,501
2012-10-10,497
2012-10-11,502
2012-10-12,454
2012-10-13,281
2012-10-14,279
2012-10-15,555
2012-10-16,485
2012-10-17,521
2012-10-18,585
2012-10-19,514
2012-10-20,316
2012-10-21,276
2012-10-22,461
2012-10-23,561
2012-10-24,484
2012-10-25,490
2012-10-26,435
2012-10-27,293
2012-10-28,304
2012-10-29,506
2012-10-30,502
2012-10-31,498
2012-11-01,485
2012-11-02,460
2012-11-03,296
2012-11-04,299
2012-11-05,492
2012-11-06,791
2012-11-07,3818
2012-11-08,522
2012-11-09,541
2012-11-10,295
2012-11-11,314
2012-11-12,514
2012-11-13,527
2012-11-14,520
2012-11-15,568
2012-11-16,407
2012-11-17,290
2012-11-18,323
2012-11-19,432
2012-11-20,509
2012-11-21,491
2012-11-22,394
2012-11-23,318
2012-11-24,248
2012-11-25,306
2012-11-26,588
2012-11-27,706
2012-11-28,533
2012-11-29,491
2012-11-30,457
2012-11-31,52
2012-12-01,351
2012-12-02,311
2012-12-03,525
2012-12-04,547
2012-12-05,569
2012-12-06,533
2012-12-07,435
2012-12-08,301
2012-12-09,334
2012-12-10,496
2012-12-11,577
2012-12-12,602
2012-12-13,556
2012-12-14,515
2012-12-15,328
2012-12-16,321
2012-12-17,530
2012-12-18,513
2012-12-19,516
2012-12-20,483
2012-12-21,388
2012-12-22,268
2012-12-23,246
2012-12-24,328
2012-12-25,275
2012-12-26,360
2012-12-27,420
2012-12-28,394
2012-12-29,310
2012-12-30,269
2012-12-31,296
2013-01-01,217
2013-01-02,455
2013-01-03,477
2013-01-04,424
2013-01-05,288
2013-01-06,267
2013-01-07,469
2013-01-08,539
2013-01-09,548
2013-01-10,536
2013-01-11,476
2013-01-12,266
2013-01-13,270
2013-01-14,496
2013-01-15,599
2013-01-16,608
2013-01-17,544
2013-01-18,442
2013-01-19,271
2013-01-20,318
2013-01-21,500
2013-01-22,611
2013-01-23,600
2013-01-24,573
2013-01-25,442
2013-01-26,314
2013-01-27,296
2013-01-28,521
2013-01-29,516
2013-01-30,565
2013-01-31,511
2013-02-01,478
2013-02-02,292
2013-02-03,295
2013-02-04,559
2013-02-05,563
2013-02-06,565
2013-02-07,581
2013-02-08,489
2013-02-09,290
2013-02-10,286
2013-02-11,482
2013-02-12,572
2013-02-13,504
2013-02-14,524
2013-02-15,445
2013-02-16,284
2013-02-17,311
2013-02-18,576
2013-02-19,541
2013-02-20,579
2013-02-21,580
2013-02-22,507
2013-02-23,369
2013-02-24,332
2013-02-25,612
2013-02-26,663
2013-02-27,539
2013-02-28,608
2013-02-29,45
2013-02-30,45
2013-02-31,45
2013-03-01,489
2013-03-02,301
2013-03-03,368
2013-03-04,592
2013-03-05,615
2013-03-06,601
2013-03-07,611
2013-03-08,532
2013-03-09,342
2013-03-10,335
2013-03-11,548
2013-03-12,588
2013-03-13,605
2013-03-14,527
2013-03-15,503
2013-03-16,351
2013-03-17,348
2013-03-18,573
2013-03-19,618
2013-03-20,583
2013-03-21,582
2013-03-22,526
2013-03-23,295
2013-03-24,303
2013-03-25,497
2013-03-26,538
2013-03-27,546
2013-03-28,549
2013-03-29,453
2013-03-30,276
2013-03-31,288
2013-04-01,501
2013-04-02,622
2013-04-03,600
2013-04-04,570
2013-04-05,437
2013-04-06,329
2013-04-07,385
2013-04-08,609
2013-04-09,578
2013-04-10,531
2013-04-11,638
2013-04-12,504
2013-04-13,268
2013-04-14,301
2013-04-15,563
2013-04-16,518
2013-04-17,590
2013-04-18,517
2013-04-19,475
2013-04-20,303
2013-04-21,317
2013-04-22,503
2013-04-23,553
2013-04-24,559
2013-04-25,527
2013-04-26,467
2013-04-27,303
2013-04-28,294
2013-04-29,508
2013-04-30,575
2013-04-31,40
2013-05-01,573
2013-05-02,634
2013-05-03,469
2013-05-04,280
2013-05-05,314
2013-05-06,534
2013-05-07,627
2013-05-08,581
2013-05-09,510
2013-05-10,519
2013-05-11,246
2013-05-12,244
2013-05-13,537
2013-05-14,546
2013-05-15,926
2013-05-16,831
2013-05-17,630
2013-05-18,278
2013-05-19,269
2013-05-20,441
2013-05-21,677
2013-05-22,531
2013-05-23,578
2013-05-24,411
2013-05-25,275
2013-05-26,403
2013-05-27,434
2013-05-28,521
2013-05-29,520
2013-05-30,493
2013-05-31,410
2013-06-01,230
2013-06-02,317
2013-06-03,467
2013-06-04,541
2013-06-05,532
2013-06-06,505
2013-06-07,455
2013-06-08,262
2013-06-09,276
2013-06-10,464
2013-06-11,460
2013-06-12,496
2013-06-13,512
2013-06-14,428
2013-06-15,310
2013-06-16,277
2013-06-17,542
2013-06-18,605
2013-06-19,497
2013-06-20,540
2013-06-21,441
2013-06-22,308
2013-06-23,263
2013-06-24,460
2013-06-25,613
2013-06-26,526
2013-06-27,477
2013-06-28,430
2013-06-29,267
2013-06-30,222
2013-06-31,36
2013-07-01,437
2013-07-02,493
2013-07-03,501
2013-07-04,380
2013-07-05,307
2013-07-06,206
2013-07-07,255
2013-07-08,476
2013-07-09,545
2013-07-10,442
2013-07-11,420
2013-07-12,453
2013-07-13,252
2013-07-14,446
2013-07-15,471
2013-07-16,500
2013-07-17,493
2013-07-18,426
2013-07-19,374
2013-07-20,244
2013-07-21,251
2013-07-22,457
2013-07-23,34
2013-07-24,180
2013-07-25,377
2013-07-26,327
2013-07-27,214
2013-07-28,225
2013-07-29,396
2013-07-30,407
2013-07-31,375
2013-08-01,426
2013-08-02,375
2013-08-03,205
2013-08-04,198
2013-08-05,396
2013-08-06,486
2013-08-07,594
2013-08-08,430
2013-08-09,325
2013-08-10,216
2013-08-11,190
2013-08-12,378
2013-08-13,437
2013-08-14,394
2013-08-15,395
2013-08-16,369
2013-08-17,409
2013-08-18,352
2013-08-19,533
2013-08-20,463
2013-08-21,456
2013-08-22,333
2013-08-23,301
2013-08-24,159
2013-08-25,195
2013-08-26,357
2013-08-27,365
2013-08-28,357
2013-08-29,364
2013-08-30,336
2013-08-31,164
2013-09-01,159
2013-09-02,258
2013-09-03,363
2013-09-04,391
2013-09-05,399
2013-09-06,330
2013-09-07,199
2013-09-08,199
2013-09-09,353
2013-09-10,364
2013-09-11,365
2013-09-12,377
2013-09-13,363
2013-09-14,221
2013-09-15,268
2013-09-16,386
2013-09-17,436
2013-09-18,384
2013-09-19,366
2013-09-20,325
2013-09-21,165
2013-09-22,193
2013-09-23,383
2013-09-24,367
2013-09-25,390
2013-09-26,343
2013-09-27,323
2013-09-28,190
2013-09-29,225
2013-09-30,383
2013-09-31,28
2013-10-01,389
2013-10-02,385
2013-10-03,363
2013-10-04,313
2013-10-05,229
2013-10-06,207
2013-10-07,340
2013-10-08,400
2013-10-09,419
2013-10-10,459
2013-10-11,344
2013-10-12,201
2013-10-13,207
2013-10-14,381
2013-10-15,414
2013-10-16,414
2013-10-17,424
2013-10-18,476
2013-10-19,242
2013-10-20,194
2013-10-21,406
2013-10-22,426
2013-10-23,422
2013-10-24,408
2013-10-25,379
2013-10-26,229
2013-10-27,268
2013-10-28,368
2013-10-29,402
2013-10-30,377
2013-10-31,386
2013-11-01,345
2013-11-02,207
2013-11-03,214
2013-11-04,366
2013-11-05,325
2013-11-06,377
2013-11-07,426
2013-11-08,375
2013-11-09,242
2013-11-10,219
2013-11-11,503
2013-11-12,389
2013-11-13,476
2013-11-14,444
2013-11-15,430
2013-11-16,472
2013-11-17,243
2013-11-18,421
2013-11-19,452
2013-11-20,503
2013-11-21,445
2013-11-22,372
2013-11-23,231
2013-11-24,210
2013-11-25,415
2013-11-26,402
2013-11-27,420
2013-11-28,303
2013-11-29,282
2013-11-30,305
2013-11-31,24
2013-12-01,225
2013-12-02,442
2013-12-03,428
2013-12-04,469
2013-12-05,458
2013-12-06,346
2013-12-07,246
2013-12-08,253
2013-12-09,402
2013-12-10,427
2013-12-11,433
2013-12-12,327
2013-12-13,292
2013-12-14,196
2013-12-15,216
2013-12-16,314
2013-12-17,336
2013-12-18,358
2013-12-19,393
2013-12-20,266
2013-12-21,183
2013-12-22,140
2013-12-23,226
2013-12-24,175
2013-12-25,162
2013-12-26,196
2013-12-27,208
2013-12-28,155
2013-12-29,146
2013-12-30,257
2013-12-31,188
2014-01-01,169
2014-01-02,255
2014-01-03,280
2014-01-04,187
2014-01-05,45
2014-01-06,21
2014-01-07,347
2014-01-08,419
2014-01-09,385
2014-01-10,347
2014-01-11,217
2014-01-12,193
2014-01-13,351
2014-01-14,354
2014-01-15,377
2014-01-16,341
2014-01-17,320
2014-01-18,216
2014-01-19,208
2014-01-20,351
2014-01-21,424
2014-01-22,330
2014-01-23,312
2014-01-24,319
2014-01-25,202
2014-01-26,207
2014-01-27,374
2014-01-28,442
2014-01-29,385
2014-01-30,327
2014-01-31,322
2014-02-01,173
2014-02-02,180
2014-02-03,360
2014-02-04,390
2014-02-05,440
2014-02-06,404
2014-02-07,368
2014-02-08,236
2014-02-09,203
2014-02-10,396
2014-02-11,414
2014-02-12,371
2014-02-13,344
2014-02-14,277
2014-02-15,213
2014-02-16,204
2014-02-17,349
2014-02-18,384
2014-02-19,357
2014-02-20,342
2014-02-21,334
2014-02-22,182
2014-02-23,197
2014-02-24,365
2014-02-25,412
2014-02-26,446
2014-02-27,391
2014-02-28,314
2014-02-29,17
2014-02-30,17
2014-02-31,17
2014-03-01,206
2014-03-02,193
2014-03-03,464
2014-03-04,390
2014-03-05,377
2014-03-06,388
2014-03-07,382
2014-03-08,208
2014-03-09,207
2014-03-10,411
2014-03-11,396
2014-03-12,408
2014-03-13,401
2014-03-14,361
2014-03-15,185
2014-03-16,223
2014-03-17,420
2014-03-18,410
2014-03-19,419
2014-03-20,394
2014-03-21,332
2014-03-22,191
2014-03-23,210
2014-03-24,372
2014-03-25,448
2014-03-26,425
2014-03-27,385
2014-03-28,377
2014-03-29,180
2014-03-30,212
2014-03-31,368
2014-04-01,404
2014-04-02,401
2014-04-03,375
2014-04-04,335
2014-04-05,173
2014-04-06,205
2014-04-07,416
2014-04-08,397
2014-04-09,396
2014-04-10,491
2014-04-11,371
2014-04-12,204
2014-04-13,216
2014-04-14,438
2014-04-15,413
2014-04-16,401
2014-04-17,358
2014-04-18,315
2014-04-19,202
2014-04-20,226
2014-04-21,402
2014-04-22,425
2014-04-23,394
2014-04-24,436
2014-04-25,371
2014-04-26,236
2014-04-27,200
2014-04-28,401
2014-04-29,375
2014-04-30,402
2014-04-31,12
2014-05-01,322
2014-05-02,343
2014-05-03,188
2014-05-04,239
2014-05-05,390
2014-05-06,387
2014-05-07,416
2014-05-08,372
2014-05-09,323
2014-05-10,246
2014-05-11,235
2014-05-12,378
2014-05-13,405
2014-05-14,408
2014-05-15,414
2014-05-16,357
2014-05-17,168
2014-05-18,216
2014-05-19,334
2014-05-20,369
2014-05-21,434
2014-05-22,343
2014-05-23,309
2014-05-24,160
2014-05-25,168
2014-05-26,228
2014-05-27,372
2014-05-28,340
2014-05-29,298
2014-05-30,262
2014-05-31,154
2014-06-01,199
2014-06-02,309
2014-06-03,378
2014-06-04,348
2014-06-05,302
2014-06-06,271
2014-06-07,160
2014-06-08,152
2014-06-09,317
2014-06-10,334
2014-06-11,349
2014-06-12,326
2014-06-13,316
2014-06-14,167
2014-06-15,182
2014-06-16,389
2014-06-17,310
2014-06-18,294
2014-06-19,309
2014-06-20,246
2014-06-21,132
2014-06-22,137
2014-06-23,315
2014-06-24,326
2014-06-25,361
2014-06-26,262
2014-06-27,250
2014-06-28,111
2014-06-29,137
2014-06-30,270
2014-06-31,7
2014-07-01,303
2014-07-02,334
2014-07-03,307
2014-07-04,185
2014-07-05,129
2014-07-06,139
2014-07-07,277
2014-07-08,315
2014-07-09,302
2014-07-10,312
2014-07-11,305
2014-07-12,144
2014-07-13,153
2014-07-14,300
2014-07-15,306
2014-07-16,284
2014-07-17,287
2014-07-18,243
2014-07-19,152
2014-07-20,147
2014-07-21,319
2014-07-22,317
2014-07-23,310
2014-07-24,302
2014-07-25,246
2014-07-26,145
2014-07-27,122
2014-07-28,277
2014-07-29,294
2014-07-30,273
2014-07-31,292
2014-08-01,255
2014-08-02,115
2014-08-03,135
2014-08-04,285
2014-08-05,329
2014-08-06,307
2014-08-07,291
2014-08-08,254
2014-08-09,133
2014-08-10,150
2014-08-11,248
2014-08-12,310
2014-08-13,278
2014-08-14,312
2014-08-15,253
2014-08-16,119
2014-08-17,138
2014-08-18,262
2014-08-19,321
2014-08-20,293
2014-08-21,335
2014-08-22,291
2014-08-23,112
2014-08-24,139
2014-08-25,285
2014-08-26,274
2014-08-27,475
2014-08-28,3
2014-08-29,271
2014-08-30,150
2014-08-31,157
2014-09-01,222
2014-09-02,279
2014-09-03,370
2014-09-04,347
2014-09-05,318
2014-09-06,124
2014-09-07,134
2014-09-08,292
2014-09-09,320
2014-09-10,359
2014-09-11,350
2014-09-12,296
2014-09-13,219
2014-09-14,246
2014-09-15,415
2014-09-16,337
2014-09-17,365
2014-09-18,415
2014-09-19,330
2014-09-20,231
2014-09-21,232
2014-09-22,398
2014-09-23,392
2014-09-24,668
2014-09-25,433
2014-09-26,346
2014-09-27,270
2014-09-28,264
2014-09-29,402
2014-09-30,382
2014-09-31,0
2014-10-01,370
2014-10-02,354
2014-10-03,224
2014-10-04,129
2014-10-05,151
2014-10-06,308
2014-10-07,371
2014-10-08,367
2014-10-09,332
2014-10-10,304
2014-10-11,155
2014-10-12,154
2014-10-13,322
2014-10-14,418
2014-10-15,335
2014-10-16,339
2014-10-17,330
2014-10-18,154
2014-10-19,152
2014-10-20,307
2014-10-21,302
2014-10-22,338
2014-10-23,326
2014-10-24,269
2014-10-25,148
2014-10-26,170
2014-10-27,323
2014-10-28,327
2014-10-29,296
2014-10-30,277
2014-10-31,261
2014-11-01,171
2014-11-02,201
2014-11-03,372
2014-11-04,426
2014-11-05,341
2014-11-06,321
2014-11-07,306
2014-11-08,133
2014-11-09,156
2014-11-10,321
2014-11-11,321
2014-11-12,362
2014-11-13,328
2014-11-14,272
2014-11-15,154
2014-11-16,158
2014-11-17,292
2014-11-18,314
2014-11-19,373
2014-11-20,388
2014-11-21,291
2014-11-22,137
2014-11-23,211
2014-11-24,323
2014-11-25,339
2014-11-26,247
2014-11-27,204
2014-11-28,183
2014-11-29,127
2014-11-30,111
2014-12-01,309
2014-12-02,277
2014-12-03,334
2014-12-04,310
2014-12-05,283
2014-12-06,148
2014-12-07,177
2014-12-08,293
2014-12-09,306
2014-12-10,322
2014-12-11,299
2014-12-12,226
2014-12-13,158
2014-12-14,157
2014-12-15,266
2014-12-16,328
2014-12-17,299
2014-12-18,316
2014-12-19,208
2014-12-20,112
2014-12-21,104
2014-12-22,261
2014-12-23,172
2014-12-24,112
2014-12-25,101
2014-12-26,119
2014-12-27,112
2014-12-28,86
2014-12-29,176
2014-12-30,164
2014-12-31,140
2015-01-01,86
2015-01-02,161
2015-01-03,169
2015-01-04,133
2015-01-05,248
2015-01-06,295
2015-01-07,287
2015-01-08,288
2015-01-09,274
2015-01-10,128
2015-01-11,125
2015-01-12,295
2015-01-13,260
2015-01-14,265
2015-01-15,287
2015-01-16,228
2015-01-17,116
2015-01-18,134
2015-01-19,250
2015-01-20,287
2015-01-21,280
2015-01-22,340
2015-01-23,245
2015-01-24,117
2015-01-25,146
2015-01-26,301
2015-01-27,328
2015-01-28,304
2015-01-29,268
2015-01-30,282
2015-01-31,105
2015-02-01,194
2015-02-02,252
2015-02-03,311
2015-02-04,331
2015-02-05,279
2015-02-06,217
2015-02-07,101
2015-02-08,118
2015-02-09,275
2015-02-10,296
2015-02-11,281
2015-02-12,305
2015-02-13,237
2015-02-14,95
2015-02-15,118
2015-02-16,220
2015-02-17,300
2015-02-18,259
2015-02-19,250
2015-02-20,239
2015-02-21,127
2015-02-22,141
2015-02-23,306
2015-02-24,307
2015-02-25,291
2015-02-26,233
2015-02-27,286
2015-02-28,145
2015-03-01,148
2015-03-02,307
2015-03-03,283
2015-03-04,294
2015-03-05,276
2015-03-06,273
2015-03-07,119
2015-03-08,172
2015-03-09,327
2015-03-10,302
2015-03-11,306
2015-03-12,300
2015-03-13,292
2015-03-14,117
2015-03-15,145
2015-03-16,306
2015-03-17,341
2015-03-18,294
2015-03-19,323
2015-03-20,269
2015-03-21,130
2015-03-22,183
2015-03-23,338
2015-03-24,290
2015-03-25,290
2015-03-26,272
2015-03-27,248
2015-03-28,126
2015-03-29,120
2015-03-30,304
2015-03-31,301
